ID;Name;User;TimeStamp;DateTime;GPS_Lat;GPS_Lon;GPS_Alt;GPS_Accuracy;GPS_Speed;GPS_Bearing;GPS_Satellites;GPS_FixTime;Accel_X;Accel_Y;Accel_Z;Gyro_X;Gyro_Y;Gyro_Z;Azimuth;Pitch;Roll;Magnetic_X;Magnetic_Y;Magnetic_Z;Audio
;ServiceLog;hast;1462625064706;7 мая 2016 г. 3:44:24 PM;49.96962302;36.01200101;136.0;3.0;0.0;0.0;12;1462624592000;0.89064306;4.2999864;9.346964;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;79
;ServiceLog;hast;1462625065729;7 мая 2016 г. 3:44:25 PM;49.97009088;36.01258729;130.0;6.0;1.3729529;29.3;3;1462625064043;1.7812861;4.663905;9.337387;-1.298634;-1.1590078;-3.5719256;30.546875;-29.8125;5.265625;-11.28;-8.94;-46.44;82
;ServiceLog;hast;1462625066742;7 мая 2016 г. 3:44:26 PM;49.97012221;36.01256612;135.0;5.0;1.1709825;36.7;3;1462625065000;0.842759;4.6255975;8.599973;-0.69131404;-0.14262612;-0.73903793;31.75;-26.671875;5.328125;-11.7;-7.14;-46.44;82
;ServiceLog;hast;1462625067749;7 мая 2016 г. 3:44:27 PM;49.97012979;36.01257396;134.0;3.0;1.372953;33.0;11;1462625066000;-2.9017725;4.1659107;9.56723;-0.13962634;0.9563859;1.1740067;31.609375;-30.34375;-2.125;-6.8399997;-6.54;-46.559998;78
;ServiceLog;hast;1462625068769;7 мая 2016 г. 3:44:28 PM;49.97012955;36.01258363;137.0;3.0;1.4417005;32.8;11;1462625067000;-6.646304;-6.2632318;2.4229321;-0.9817477;3.877631;-3.6589193;90.578125;11.296875;-73.890625;16.44;3.84;-37.02;75
;ServiceLog;hast;1462625069787;7 мая 2016 г. 3:44:29 PM;49.97014485;36.01259354;138.0;3.0;1.7205232;32.8;10;1462625068000;-8.274361;-3.122039;2.9879637;-1.8366864;3.6572828;-5.144358;130.375;41.203125;-44.0625;34.14;22.32;-27.06;84
;ServiceLog;hast;1462625070795;7 мая 2016 г. 3:44:30 PM;49.9701455;36.01260247;137.0;3.0;1.3495185;48.7;10;1462625069000;-4.1946416;-9.097966;0.33518824;-4.591852;5.574418;-0.438514;114.546875;151.70313;-61.65625;40.92;16.14;-20.46;84
;ServiceLog;hast;1462625071803;7 мая 2016 г. 3:44:31 PM;49.97015395;36.01262455;137.0;3.0;0.8633076;49.5;11;1462625070000;2.5570073;-12.660539;-5.0661306;-2.659991;5.8146734;-6.5204415;237.17188;120.46875;8.421875;20.939999;36.36;-4.14;85
;ServiceLog;hast;1462625072812;7 мая 2016 г. 3:44:32 PM;49.97016429;36.01263394;137.0;3.0;1.0331022;49.3;11;1462625071000;4.4915223;-9.270349;-1.1204864;4.074253;10.822133;-11.42318;218.64063;95.1875;-2.578125;2.3999999;46.559998;-3.4199998;80
;ServiceLog;hast;1462625073819;7 мая 2016 г. 3:44:33 PM;49.97017029;36.01265279;136.0;3.0;1.2203687;49.3;11;1462625072000;1.4748282;-11.128249;0.8714894;4.922101;11.749338;-8.37949;235.45313;88.515625;0.984375;3.8999999;46.62;-3.72;85
